methods,path,params,produces,controller,handler,source,line,annotation
POST,/delete_image,,,DeleteImageController,deleteImage,src/main/scala/ru/org/linux/gallery/DeleteImageController.scala,56,@RequestMapping(method = Array(RequestMethod.POST))
POST,/delip.jsp,,,DelIPController,delIp,src/main/scala/ru/org/linux/admin/DelIPController.scala,44,"@RequestMapping(value = Array(""/delip.jsp""), method = Array(RequestMethod.POST))"
"GET,HEAD",/deregister.jsp,,,DeregisterController,show,src/main/scala/ru/org/linux/user/DeregisterController.scala,49,"@RequestMapping(value = Array(""/deregister.jsp""), method = Array(RequestMethod.GET, RequestMethod.HEAD))"
POST,/deregister.jsp,,,DeregisterController,deregister,src/main/scala/ru/org/linux/user/DeregisterController.scala,56,"@RequestMapping(value = Array(""/deregister.jsp""), method = Array(RequestMethod.POST))"
GET,/edit.jsp,,,EditTopicController,showEditForm,src/main/scala/ru/org/linux/topic/EditTopicController.scala,84,"@RequestMapping(value = Array(""/edit.jsp""), method = Array(RequestMethod.GET))"
POST,/edit.jsp,,,EditTopicController,edit,src/main/scala/ru/org/linux/topic/EditTopicController.scala,215,"@RequestMapping(value = Array(""/edit.jsp""), method = Array(RequestMethod.POST))"
GET,/edit_comment,,,EditCommentController,editCommentShowHandler,src/main/scala/ru/org/linux/comment/EditCommentController.scala,54,"@RequestMapping(value = Array(""/edit_comment""), method = Array(RequestMethod.GET))"
POST,/edit_comment,,,EditCommentController,editCommentPostHandler,src/main/scala/ru/org/linux/comment/EditCommentController.scala,96,"@RequestMapping(value = Array(""/edit_comment""), method = Array(RequestMethod.POST))"
ANY,/errors/403,,,HttpErrorController,handle403,src/main/scala/ru/org/linux/site/HttpErrorController.scala,25,"@RequestMapping(Array(""/errors/403""))"
ANY,/errors/404,,,HttpErrorController,handle404,src/main/scala/ru/org/linux/site/HttpErrorController.scala,22,"@RequestMapping(Array(""/errors/404""))"
ANY,/forum,,,SectionController,forum,src/main/scala/ru/org/linux/section/SectionController.scala,30,"@RequestMapping(path = Array(""/forum""))"
ANY,/forum/lenta,,,TopicListController,forum,src/main/scala/ru/org/linux/topic/TopicListController.scala,185,"@RequestMapping(path = Array(""/forum/lenta""))"
ANY,/forum/{group},,,GroupController,forum,src/main/scala/ru/org/linux/group/GroupController.scala,104,"@RequestMapping(path = Array(""/forum/{group}""))"
ANY,/forum/{group}/archive,,,ArchiveController,forumArchive,src/main/scala/ru/org/linux/topic/ArchiveController.scala,88,"@RequestMapping(path = Array(""/forum/{group}/archive""))"
ANY,/forum/{group}/{id}/history,,,EditHistoryController,showEditInfo,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala,35,"@RequestMapping(Array(""/news/{group}/{id}/history"", ""/forum/{group}/{id}/history"", ""/gallery/{group}/{id}/history"", ""/polls/{group}/{id}/history"", ""/articles/{group}/{id}/history""))"
ANY,/forum/{group}/{id}/{commentid}/history,,,EditHistoryController,showCommentEditInfo,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala,60,"@RequestMapping(Array(""/news/{group}/{id}/{commentid}/history"", ""/forum/{group}/{id}/{commentid}/history"", ""/gallery/{group}/{id}/{commentid}/history"", ""/polls/{group}/{id}/{commentid}/history"", ""/articles/{group}/{id}/{commentid}/history""))"
ANY,/forum/{group}/{year}/{month},,,GroupController,forumArchive,src/main/scala/ru/org/linux/group/GroupController.scala,71,"@RequestMapping(path = Array(""/forum/{group}/{year:\\d{4}}/{month:\\d+}""))"
ANY,/gallery/archive,,,ArchiveController,galleryArchive,src/main/scala/ru/org/linux/topic/ArchiveController.scala,76,"@RequestMapping(path = Array(""/gallery/archive""))"
ANY,/gallery/{group}/{id}/history,,,EditHistoryController,showEditInfo,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala,35,"@RequestMapping(Array(""/news/{group}/{id}/history"", ""/forum/{group}/{id}/history"", ""/gallery/{group}/{id}/history"", ""/polls/{group}/{id}/history"", ""/articles/{group}/{id}/history""))"
ANY,/gallery/{group}/{id}/{commentid}/history,,,EditHistoryController,showCommentEditInfo,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala,60,"@RequestMapping(Array(""/news/{group}/{id}/{commentid}/history"", ""/forum/{group}/{id}/{commentid}/history"", ""/gallery/{group}/{id}/{commentid}/history"", ""/polls/{group}/{id}/{commentid}/history"", ""/articles/{group}/{id}/{commentid}/history""))"
ANY,/group-lastmod.jsp,,,GroupController,topicsLastmod,src/main/scala/ru/org/linux/group/GroupController.scala,59,"@RequestMapping(path = Array(""/group-lastmod.jsp""))"
ANY,/group.jsp,,,GroupController,topics,src/main/scala/ru/org/linux/group/GroupController.scala,47,"@RequestMapping(path = Array(""/group.jsp""))"
GET,/groupmod.jsp,,,GroupModificationController,showForm,src/main/scala/ru/org/linux/group/GroupModificationController.scala,30,"@RequestMapping(value = Array(""/groupmod.jsp""), method = Array(RequestMethod.GET))"
POST,/groupmod.jsp,,,GroupModificationController,modifyGroup,src/main/scala/ru/org/linux/group/GroupModificationController.scala,44,"@RequestMapping(value = Array(""/groupmod.jsp""), method = Array(RequestMethod.POST))"
ANY,/help/{page},,,HelpController,helpPage,src/main/scala/ru/org/linux/help/HelpController.scala,34,"@RequestMapping(path = Array(""/help/{page}""))"
ANY,/index.jsp,,,MainPageController,mainPage,src/main/scala/ru/org/linux/spring/MainPageController.scala,40,"@RequestMapping(path = Array(""/"", ""/index.jsp""))"
"GET,HEAD",/jump-message.jsp,,,TopicController,jumpMessage,src/main/scala/ru/org/linux/topic/TopicController.scala,450,"@RequestMapping(value = Array(""/jump-message.jsp""), method = Array(RequestMethod.GET, RequestMethod.HEAD))"
"GET,HEAD",/login.jsp,,,LoginController,loginForm,src/main/scala/ru/org/linux/auth/LoginController.scala,132,"@RequestMapping(value = Array(""/login.jsp""), method = Array(RequestMethod.GET, RequestMethod.HEAD))"
POST,/login_process,,,LoginController,loginProcess,src/main/scala/ru/org/linux/auth/LoginController.scala,53,"@RequestMapping(value = Array(""/login_process""), method = Array(RequestMethod.POST))"
POST,/logout,,,LoginController,logout,src/main/scala/ru/org/linux/auth/LoginController.scala,108,"@RequestMapping(value = Array(""/logout""), method = Array(RequestMethod.POST))"
GET,/logout,,,LoginController,logoutLink,src/main/scala/ru/org/linux/auth/LoginController.scala,125,"@RequestMapping(value = Array(""/logout"", ""/logout_all_sessions""), method = Array(RequestMethod.GET))"
POST,/logout_all_sessions,,,LoginController,logoutAllDevices,src/main/scala/ru/org/linux/auth/LoginController.scala,119,"@RequestMapping(value = Array(""/logout_all_sessions""), method = Array(RequestMethod.POST))"
GET,/logout_all_sessions,,,LoginController,logoutLink,src/main/scala/ru/org/linux/auth/LoginController.scala,125,"@RequestMapping(value = Array(""/logout"", ""/logout_all_sessions""), method = Array(RequestMethod.GET))"
GET,/lostpwd.jsp,,,LostPasswordController,showForm,src/main/scala/ru/org/linux/user/LostPasswordController.scala,39,@RequestMapping(method = Array(RequestMethod.GET))
POST,/lostpwd.jsp,,,LostPasswordController,sendPassword,src/main/scala/ru/org/linux/user/LostPasswordController.scala,42,@RequestMapping(method = Array(RequestMethod.POST))
POST,/markup/preview,,application/json; charset=UTF-8,MarkupPreviewController,preview,src/main/scala/ru/org/linux/markup/MarkupPreviewController.scala,34,"@RequestMapping(path = Array(""/preview""), method = Array(RequestMethod.POST), produces = Array(""application/json; charset=UTF-8""))"
POST,/memories.jsp,add,,MemoriesController,add,src/main/scala/ru/org/linux/user/MemoriesController.scala,28,"@RequestMapping(value = Array(""/memories.jsp""), params = Array(""add""), method = Array(RequestMethod.POST))"
POST,/memories.jsp,remove,,MemoriesController,remove,src/main/scala/ru/org/linux/user/MemoriesController.scala,50,"@RequestMapping(value = Array(""/memories.jsp""), params = Array(""remove""), method = Array(RequestMethod.POST))"
POST,/mt.jsp,,,TopicModificationController,moveTopic,src/main/scala/ru/org/linux/topic/TopicModificationController.scala,99,"@RequestMapping(value = Array(""/mt.jsp""), method = Array(RequestMethod.POST))"
GET,/mt.jsp,,,TopicModificationController,moveToForumForm,src/main/scala/ru/org/linux/topic/TopicModificationController.scala,119,"@RequestMapping(value = Array(""/mt.jsp""), method = Array(RequestMethod.GET))"
GET,/mtn.jsp,,,TopicModificationController,movePremoderatedForm,src/main/scala/ru/org/linux/topic/TopicModificationController.scala,134,"@RequestMapping(value = Array(""/mtn.jsp""), method = Array(RequestMethod.GET))"
ANY,/news/archive,,,ArchiveController,newsArchive,src/main/scala/ru/org/linux/topic/ArchiveController.scala,79,"@RequestMapping(path = Array(""/news/archive""))"
ANY,/news/{group}/{id}/history,,,EditHistoryController,showEditInfo,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala,35,"@RequestMapping(Array(""/news/{group}/{id}/history"", ""/forum/{group}/{id}/history"", ""/gallery/{group}/{id}/history"", ""/polls/{group}/{id}/history"", ""/articles/{group}/{id}/history""))"
ANY,/news/{group}/{id}/{commentid}/history,,,EditHistoryController,showCommentEditInfo,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala,60,"@RequestMapping(Array(""/news/{group}/{id}/{commentid}/history"", ""/forum/{group}/{id}/{commentid}/history"", ""/gallery/{group}/{id}/{commentid}/history"", ""/polls/{group}/{id}/{commentid}/history"", ""/articles/{group}/{id}/{commentid}/history""))"
POST,/notifications,,,UserEventController,resetNotifications,src/main/scala/ru/org/linux/user/UserEventController.scala,58,"@RequestMapping(value = Array(""/notifications""), method = Array(RequestMethod.POST))"
"GET,HEAD",/notifications,,,UserEventController,showNotifications,src/main/scala/ru/org/linux/user/UserEventController.scala,126,"@RequestMapping(value = Array(""/notifications""), method = Array(RequestMethod.GET, RequestMethod.HEAD))"
