status,methods,path,params,controller,handler,rust_match,source
covered,GET,/reset-password,,ResetPasswordController,showCodeForm,"GET,POST /reset-password",src/main/scala/ru/org/linux/user/ResetPasswordController.scala:47
covered,POST,/reset-password,,ResetPasswordController,resetPassword,"GET,POST /reset-password",src/main/scala/ru/org/linux/user/ResetPasswordController.scala:50
covered,ANY,/resolve.jsp,,ResolveController,resolve,POST /resolve.jsp,src/main/scala/ru/org/linux/topic/ResolveController.scala:29
covered,ANY,/sameip.jsp,,SameIPController,sameIP,GET /sameip.jsp,src/main/scala/ru/org/linux/admin/SameIPController.scala:59
covered,"GET,HEAD",/search.jsp,,SearchController,search,GET /search.jsp,src/main/scala/ru/org/linux/search/SearchController.scala:56
covered,ANY,/section-rss.jsp,,TopicListController,showRSS,GET /section-rss.jsp,src/main/scala/ru/org/linux/topic/TopicListController.scala:240
covered,GET,/setpostscore.jsp,,TopicModificationController,showForm,"GET,POST /setpostscore.jsp",src/main/scala/ru/org/linux/topic/TopicModificationController.scala:41
covered,POST,/setpostscore.jsp,,TopicModificationController,modifyTopic,"GET,POST /setpostscore.jsp",src/main/scala/ru/org/linux/topic/TopicModificationController.scala:51
covered,ANY,/show-comments.jsp,,ShowCommentsController,showComments,GET /show-comments.jsp,src/main/scala/ru/org/linux/comment/ShowCommentsController.scala:32
covered,"GET,HEAD",/show-replies.jsp,"!output,!nick",UserEventController,showNotificationsOld,GET /show-replies.jsp,src/main/scala/ru/org/linux/user/UserEventController.scala:191
covered,"GET,HEAD",/show-replies.jsp,!output,UserEventController,showNotificationsForModerator,GET /show-replies.jsp,src/main/scala/ru/org/linux/user/UserEventController.scala:197
covered,"GET,HEAD",/show-replies.jsp,output,UserEventController,repliesFeed,GET /show-replies.jsp,src/main/scala/ru/org/linux/user/UserEventController.scala:254
covered,GET,/show-topics.jsp,,TopicListController,showUserTopics,GET /show-topics.jsp,src/main/scala/ru/org/linux/topic/TopicListController.scala:231
covered,"GET,HEAD",/tag/{tag},,TagPageController,tagPage,GET /tag/:tag,src/main/scala/ru/org/linux/tag/TagPageController.scala:61
covered,"GET,HEAD",/tag/{tag},section,TagTopicListController,tagFeed,GET /tag/:tag,src/main/scala/ru/org/linux/topic/TagTopicListController.scala:74
covered,ANY,/tags,,TagController,showDefaultTagListHandlertags,GET /tags,src/main/scala/ru/org/linux/tag/TagController.scala:40
covered,ANY,/tags,term,TagController,showTagListHandlerJSON,GET /tags,src/main/scala/ru/org/linux/tag/TagController.scala:93
covered,ANY,/tags.jsp,,TagController,oldTagsRedirectHandler,GET /tags.jsp,src/main/scala/ru/org/linux/tag/TagController.scala:83
covered,GET,/tags/change,,TagController,changeTagShowFormHandler,"GET,POST /tags/change",src/main/scala/ru/org/linux/tag/TagController.scala:107
covered,POST,/tags/change,,TagController,changeTagSubmitHandler,"GET,POST /tags/change",src/main/scala/ru/org/linux/tag/TagController.scala:133
covered,GET,/tags/delete,,TagController,deleteTagShowFormHandler,"GET,POST /tags/delete",src/main/scala/ru/org/linux/tag/TagController.scala:169
covered,POST,/tags/delete,,TagController,deleteTagSubmitHandler,"GET,POST /tags/delete",src/main/scala/ru/org/linux/tag/TagController.scala:193
covered,ANY,/tags/{firstLetter},,TagController,showTagListHandler,GET /tags/:first_letter,src/main/scala/ru/org/linux/tag/TagController.scala:50
covered,ANY,/top10.boxlet,,TopTenBoxlet,getData,GET /top10.boxlet,src/main/scala/ru/org/linux/boxlets/TopTenBoxlet.scala:28
covered,ANY,/tracker,,TrackerController,tracker,GET /tracker,src/main/scala/ru/org/linux/tracker/TrackerController.scala:68
covered,ANY,/tracker.jsp,,TrackerController,trackerOldUrl,GET /tracker.jsp,src/main/scala/ru/org/linux/tracker/TrackerController.scala:36
covered,GET,/uncommit.jsp,,TopicModificationController,uncommitForm,"GET,POST /uncommit.jsp",src/main/scala/ru/org/linux/topic/TopicModificationController.scala:155
